,,,,,,,,,,,,,label
32529557,2009-10-07 05:52:59+00:00, ,4680000000,en,0,0,0,0, ,#Singapore: Couple on $T$ abuse charge: A COUPLE were hauled to court on Wednesday for allegedly ab.. http://bit.ly/HBnEC,maid,Foreign domestic workers,-1
1250000000,2014-11-13 13:57:45+00:00, ,5.33E+17,en,0,0,0,2, ,"RT @GGC_Crew: S/O to @CoconutsSG for featuring this $T$ of 'What????s the Buzz, Fuzz?' @FakkahFuzz: http://t.co/wGn26w4i1R",EP,Foreign talents,0
632000000,2021-10-16 03:06:08+00:00, ,1.45E+18,en,0,0,0,0, ,"Singapore reports 3,445 new Covid cases: Of the new cases, 2,823 were in the community, 620 were in $T$ dormitories, and two were imported cases, Xinhua news agency reported. The post Singapore reports 3,445 new Covid cases appeared first on_ https://t.co/J3ACqIwSZn https://t.co/TALFU0Mbb4",migrant worker,Migrant workers,-1
573000000,2014-01-10 10:09:25+00:00, ,4.22E+17,en,0,0,0,48, ,RT @TODAYonline: A 22-year-old man is probed for making $T$ remarks as "Heather Chua" on Facebook http://t.co/h6OCtV6aPW http://t.co/AcJ,racist,Xenophobia and racism,-1
1.26E+18,2021-10-21 13:46:44+00:00, ,1.45E+18,en,1,0,1,0, ,"@BunnyMaskStudio we love $T$ ?? /s

but I live in Singapore so 90% of the population is Asian anyway",racism,Xenophobia and racism,1
156000000,2016-07-24 12:18:56+00:00, ,7.57E+17,en,0,0,0,0, ,It's Personal for a Singapore Property entrepreneur Who's Taking a Stand Against $T$  - https://t.co/USBcE1ZAJi,racial discrimination,Xenophobia and racism,1
146000000,2013-10-15 04:43:20+00:00, ,3.90E+17,en,0,0,1,0, ,Singapore Day event accused of $T$ ,racism,Xenophobia and racism,-1
106000000,2020-08-07 12:28:41+00:00, ,1.29E+18,en,0,0,0,0, ,Richard Oldman u are indeed aka trump old and peasized https://t.co/iXgABUoWyT a Jap born in Singapore unlike u who is insane and subjective.are u systemic $T$ too? China virus?? Look Chinese means China? Then u are russian cruel!?lmao https://t.co/OAzA65FG6E,racist,Xenophobia and racism,-1
59417313,2014-06-29 07:27:27+00:00, ,4.83E+17,en,0,0,0,0, ,Buy a discount $T$ at Singapore's malls http://t.co/9EQZ4jjFr6 via @AjEnglish,maid,Foreign domestic workers,0
53310256,2013-05-20 03:11:03+00:00, ,3.36E+17,en,0,0,0,0, ,STOMP - Singapore Seen - Scammers pose a$T$ officers to ask for funds transfer: Police: http://t.co/TWg1qsn9Uf,ICA,Immigration policy,0
1.03E+18,2020-06-01 23:38:12+00:00, ,1.27E+18,en,0,0,0,0, ,"""Ease of changing employers just like any regular citizen residing in Singapore;"" https://t.co/8Mp1LqEyqW #_????____ #Singapore #TianlongServices #$T$ https://t.co/0T75U9s9Wm",ICA,Immigration policy,-1
1.26E+18,2021-08-08 15:59:16+00:00, ,1.42E+18,en,0,0,0,0, ,Singapore to Finetune $T$ Policies Amid Expat Angst https://t.co/lrOSVdI3lG #internationalnews #news #worldnews https://t.co/NIYYfUxY2C,foreign worker,Migrant workers,0
41085467,2016-05-01 23:20:05+00:00, ,7.27E+17,en,7,0,0,6, ,".@CheeSoonJuan hits back at @PAPSingapore over charges of $T$, hypocrisy https://t.co/BnuY5VqnBh https://t.co/4K1PbBux4c",racism,Xenophobia and racism,-1
446000000,2020-08-21 07:12:08+00:00, ,1.30E+18,en,0,0,0,5, ,RT @STcom: $T$ Group to invest $30 million in research and education initiatives with NTU https://t.co/h30eEWUxUj,SP,Foreign talents,1
388000000,2020-03-12 02:57:33+00:00, ,1.24E+18,en,0,0,1,0, ,"I'm kinda torn here. Do I zoom back to UK to be with mummy (she's at higher risk than Jo), and risk isolation from jo - plus potential immigration (I'm a '$T$' in singapore).",foreign worker,Migrant workers,-1
44290654,2020-01-13 14:20:32+00:00, ,1.22E+18,en,0,0,0,0, ,"Thieving $T$ served family food mixed with her urine and blood, gets jail
https://t.co/P6sqJr$T$WG",maid,Foreign domestic workers,-1
73414448,2015-08-15 05:39:20+00:00, ,6.32E+17,en,0,0,0,0, ,AsiaClassifiedToday: $T$ who won $2.3m lottery accused of stealing ticket - The Straits Ti... http://t.co/GrkuONvk90 #asia #google #ads,maid,Foreign domestic workers,-1
967000000,2020-09-10 00:47:56+00:00, ,1.30E+18,en,1,0,1,0, ,Temasek backs up CAG chairman https://t.co/zns6E8fxZ9 Public contributions do not serve as pretext for Mr. Liew Mun Leong to abuse hi$T$.,maid,Foreign domestic workers,-1
7.05E+17,2016-05-27 10:19:20+00:00, ,7.36E+17,en,0,0,0,0, ,New thumbprint scanner helps Singapore tighten borders: $T$ https://t.co/HYoKDwLFgL,ICA,Immigration policy,1
16195103,2018-10-27 11:42:18+00:00, ,1.06E+18,en,0,0,0,16, ,"RT @qz: The $T$ reality of house-hunting in Singapore: ????Sorry, your wife is Indian???? https://t.co/VqqKUaM9$T$",racist,Xenophobia and racism,-1
205000000,2013-05-06 09:02:49+00:00, ,3.31E+17,en,0,0,0,0, ,DTN Singapore: Sri Lankan $T$ jailed for 10 years for killing lover: Mr Murugaiyan Selvam's body being taken ... http://t.co/zPbBowF2HG,maid,Foreign domestic workers,-1
1.05E+18,2020-06-04 09:13:02+00:00, ,1.27E+18,en,1,0,0,0, ,Big Bully $T$ is that he ay to reat hman being KARMA will for you._____https://t.co/3fpJuVUwJl,maid,Foreign domestic workers,-1
952000000,2022-02-21 17:07:46+00:00, ,1.50E+18,en,0,0,0,80, ,RT @ChannelNewsAsia: __ Travelling to Singapore? Here are the latest $T$ at a glance: https://t.c_?,border measures,Travel restrictions,0
32529557,2011-10-20 09:33:55+00:00, ,1.27E+17,en,1,0,0,0, ,"#Singapore: Adequate housing choices for 670,000 $T$ holders:  There are adequate housing options for th... http://t.co/QEvWtqR0",work permit,Migrant workers,1
177000000,2014-11-05 15:33:55+00:00, ,5.30E+17,en,0,0,0,3, ,"RT @isa_sociology: ISA XIIIth International Laboratory
for Ph.D. $T$ in Sociology. July 20-26, 2015. Nat'l Univ Singapore http://t.co/",international students,Foreign talents,0
284000000,2013-02-02 10:21:26+00:00, ,2.98E+17,en,0,0,0,161, ,RT @SG_Teens: Another $T$ remark made by Aloysius Tang against the malays in Singapore. http://t.co/dCz7vqBP,racist,Xenophobia and racism,-1
90407341,2021-08-09 15:00:00+00:00, ,1.42E+18,en,2,0,0,1, ,"News from #Singapore | The Singapore government will adjust $T$ policies to address concerns among locals over competition for jobs, even as the global business hub remains open to talent from overseas, its prime minister said on Sunday.
https://t.co/sQwhsaYbMM",foreign worker,Migrant workers,0
620000000,2012-12-22 10:06:33+00:00, ,2.82E+17,en,0,0,0,0, ,SINGAPORE: $T$ agents in Singapore are looking to hire more for... http://t.co/GW1qxr35,maid,Foreign domestic workers,0
871000000,2020-12-10 08:57:10+00:00, ,1.34E+18,en,0,0,0,42, ,"RT @antd: With no opposition LegCo, the govt/pro-BJ parties can now $T$ whatever laws they want. Potentially on the agenda: a law modeled",S pass,Foreign talents,-1
29955879,2020-12-20 20:35:50+00:00, ,1.34E+18,en,0,0,4,0, ,@Jud9e @jalilword I haven't worked in Singapore so I am just wondering how is the working environment over there like. Is it a$T$ as some people allege it to be?,racist,Xenophobia and racism,-1
1.01E+18,2020-11-13 23:07:37+00:00, ,1.33E+18,en,0,0,0,22, ,"RT @GOT7WWU: ? SINGAPORE STREAMING $T$ GO by @GIMME7SG

#GOT7 @GOT7Official #??? #GOT7_BreathofLove_LastPiece

https://t.co/aVRu2otCio",S pass,Foreign talents,0
132000000,2015-11-07 10:08:29+00:00, ,6.63E+17,en,0,0,0,0, ,ICC Academy and IE Singapore launch new trade programme for $T$ | ICC - International Chamber of Commerce https://t.co/0KnDVcV7Pj,international students,Foreign talents,1
109000000,2020-08-23 08:30:00+00:00, ,1.30E+18,en,1,0,0,1, ,"LIVE BLOG: Singapore relaxes coronavirus $T$ for mainland China, Taiwan and Malaysia

https://t.co/Nue9ZfnSUY via @PhocusWire #coronavirus #coronavirusupdates #covid19 #corona #travel #tourism #singapore #malaysia #taiwan",travel restrictions,Travel restrictions,1
3690000000,2017-05-04 14:02:35+00:00, ,8.60E+17,en,0,0,0,0, ,Singapore news today | BEWARE! THI$T$ BRINGS BANGLA BF TO MY HOUSE &amp; HIDES HIM IN WARDROBE - https://t.co/PbUgbkzraI https://t.co/p8yhnyclm5,maid,Foreign domestic workers,1
1.42E+18,2021-10-11 05:11:04+00:00, ,1.45E+18,en,0,0,0,1, ,"RT @313_fs: Singapore has strict $T$, fully vaccinated, pre arrival PCR -ve test, 14 days mandatory hotel quarantine, &amp; its st",S pass,Foreign talents,-1
990000000,2020-12-05 15:23:17+00:00, ,1.34E+18,en,0,0,0,0, ,"Many books were written with this slogan even. Yet, many critics and $T$ argued that Singapore was not Third World when LKY took over. The above portraits were about the 1850s, and it just shows how well Singapore acted as an international/regional trading and commerce hub.",international scholars,Foreign talents,1
2250000000,2018-04-06 08:10:16+00:00, ,9.82E+17,en,0,0,0,0, ,$T$ arrests 2 Chinese nationals for immigration offences https://t.co/vCgUotLeVu,ICA,Immigration policy,0
321000000,2016-06-25 01:00:02+00:00, ,7.47E+17,en,0,0,0,0, ,"Are you a $T$ looking for a job or to transfer to a new employer in Singapore, Hong Kong,... https://t.co/O9MDUTXIKq",Foreign domestic worker,Foreign domestic workers,0
5479,2019-04-06 13:38:58+00:00, ,1.11E+18,en,0,0,0,2, ,"RT @chiuxid: Priscilla Nu (@nu) giving a keynote about Designing Experience in Energy based on her experience working in $T$ Group, Singapor",SP,Foreign talents,0
9.05E+17,2019-04-12 06:18:35+00:00, ,1.12E+18,en,0,0,0,0, ,"Dear $T$, something for you guys to read!

@NUSingapore @NTUsg @psbacademy @sgSMU @sutdsg 

#internationalstudent #Singapore #NUS #NTU #SMU #studyinginSingapore https://t.co/QP1hv1vE02",international students,Foreign talents,0
1.13E+18,2020-11-10 15:01:25+00:00, ,1.33E+18,en,1,0,0,0, ,@STcom Pahaha ????It will not apply to Singapore citizens or permanent residents???? the most $T$ country in the world. ,racist,Xenophobia and racism,-1
927000000,2019-10-29 10:15:29+00:00, ,1.19E+18,en,0,0,0,1366, ,"RT @Ganeshspeaks: I thought Singapore got no $T$ one? Ahnei your mother di, pulutha pusunika pundeh. ?????????? https://t.co/yRgDaWQNHl",racism,Xenophobia and racism,1
264000000,2014-07-11 12:54:49+00:00, ,4.88E+17,en,0,0,0,1229, ,RT @BawangPurple: $T$ is alive in Singapore. Shame on this pathetic Isetan manager at Wisma Atria. http://t.co/8sbo5fbhaN http://t.co/VR,racism,Xenophobia and racism,-1
44250551,2012-03-16 07:38:15+00:00, ,1.81E+17,en,0,0,0,0, ,RT @jasminelim891: Part Time Cleaning $T$ Service In Singapore http://t.co/3lUjwhtO,maid,Foreign domestic workers,0
34565395,2018-04-25 22:42:55+00:00, ,9.89E+17,en,0,0,0,0, ,$T$ said valuables she allegedly stole were dumped in trash bags https://t.co/aJaCcUdce9,maid,Foreign domestic workers,-1
1.18E+18,2019-12-17 07:10:00+00:00, ,1.21E+18,en,0,0,0,0, ,Need #Singapore U Turn $T$s Under $T$. #Job #Vacancy https://t.co/jOFeVbtWVu,work permit,Migrant workers,0
1520000000,2019-02-20 05:32:46+00:00, ,1.10E+18,en,0,0,0,0, ,Find the best Indian $T$s on our website ,maid,Foreign domestic workers,0
169000000,2011-03-27 16:15:06+00:00, ,5.20E+16,en,0,0,0,0, ,Just got a notif that my Singapore $T$ will soon get expired! Gotta renew / not? :p,employment pass,Foreign talents,-1
48299886,2009-08-03 08:47:14+00:00, ,3100000000,en,0,0,0,0, ,@straits_times RE: Fillipino $T$ who stole jumped&gt;&gt; Why most people tends to escape from their mistakes? #singapore,maid,Foreign domestic workers,-1
253000000,2020-05-23 08:02:16+00:00, ,1.26E+18,en,0,0,0,0, ,@KevinH_Esq allowed entry. You may wish to stay updated on border control $T$ via Singapore's Immigration &amp; Checkpoints Authority's website: https://t.co/iSbGoc9eyE. (2/2),border measures,Travel restrictions,-1
86736177,2011-09-14 07:29:53+00:00, ,1.14E+17,en,0,0,0,0, ,"(Straits Times) $T$ jailed 3 months, 2 weeks for theft and causing hurt:  By Elena Chong  http://t.co/azNTKcY #Singapore",maid,Foreign domestic workers,-1
1.44E+18,2021-11-26 06:18:07+00:00, ,1.46E+18,en,0,0,0,22, ,RT @ChannelNewsAsia: Singapore tighten$T$ for those with recent travel history to 7 african countries amid reports of potenti_?,border measures,Travel restrictions,-1
173000000,2018-06-18 12:44:01+00:00, ,1.01E+18,en,1,0,0,0, ,$T$ on trial for committing sexual acts on 11-year-old boy https://t.co/5Obw6IFzL9,maid,Foreign domestic workers,-1
271000000,2018-06-01 08:56:13+00:00, ,1.00E+18,en,0,0,0,1, ,"According to a post by $T$ Group, an estimated 3,156 customers were affected by the blackout. https://t.co/8wiX7ghunR",SP,Foreign talents,-1
200000000,2011-03-02 12:57:15+00:00, ,4.29E+16,en,0,0,0,0, ,$T$ SINGAPORE URGENT at Gujarat http://dlvr.it/J2fzc,work permit,Migrant workers,0
54570415,2019-03-05 02:37:19+00:00, ,1.10E+18,en,0,0,0,7, ,"RT @ananthv9: Live: Conducting 5 day training (30 hours) at $T$ Jain School of Global Management - Dubai, Mumbai, Singapore, Sydney

https:/",SP,Foreign talents,0
1690000000,2019-10-29 11:51:10+00:00, ,1.19E+18,en,0,0,0,1366, ,"RT @Ganeshspeaks: I thought Singapore got no $T$ one? Ahnei your mother di, pulutha pusunika pundeh. ?????????? https://t.co/yRgDaWQNHl",racism,Xenophobia and racism,-1
193000000,2017-06-09 06:46:18+00:00, ,8.73E+17,en,0,0,0,0, ,Why are Malaysia and Singapore such $T$ countries? by Alexina Benedict https://t.co/iElEU7asLh,racist,Xenophobia and racism,0
282000000,2022-03-17 17:50:51+00:00, ,1.50E+18,en,0,0,0,2, ,RT @mythili3012: Air india express $T$ service to Singapore !! From Chennai and Madurai https://t.co/UwHWFXeMGf,VTL,Travel restrictions,0
2840000000,2016-12-01 08:49:49+00:00, ,8.04E+17,en,0,0,0,0, ,"$T$ officer jailed for molesting colleague
https://t.co/Zq3DlrU91b https://t.co/qQvxlXhaN0",ICA,Immigration policy,-1
1120000000,2021-05-26 07:09:40+00:00, ,1.40E+18,en,0,0,0,749, ,"RT @kish_kebab: If, as a Chinese person living in Singapore, your response to a minority talking about $T$ is along the lines of ""person",racism,Xenophobia and racism,-1
1.02E+18,2020-05-21 11:20:32+00:00, ,1.26E+18,en,0,0,0,0, ,"__ Are you looking to hire a $T$ in #Singapore? 
",maid,Foreign domestic workers,0
1.07E+18,2020-07-20 11:04:30+00:00, ,1.29E+18,en,0,0,0,33, ,RT @ChannelNewsAsia: NLB removes Chinese-language children's book from libraries after complaint about '$T$' content https://t.co/JkmTNM,racist,Xenophobia and racism,-1
74819814,2012-11-27 20:01:36+00:00, ,2.74E+17,en,0,0,0,0, ,#$T$orts #news Football: Chelsea "regret" $T$ charges against referee: LONDON: Chelsea expressed Tu... http://t.co/hBtrfVT6 #singapore,racism,Xenophobia and racism,1
27182288,2014-04-19 09:43:12+00:00, ,4.57E+17,en,2,0,0,0, ,All this talk on $T$ and identity in Singapore! I'm just going leave the link to my dissertation here: https://t.co/kJhingT0Qs,xenophobia,Xenophobia and racism,0
12679762,2021-07-20 09:32:27+00:00, ,1.42E+18,en,0,0,0,617, ,"RT @Birdyword: The year is 2287. Hong Kong and Singapore announce the beginning of discussions on a 'travel bubble', though no $T$",travel restrictions,Travel restrictions,-1
9.89E+17,2020-11-29 04:30:45+00:00, ,1.33E+18,en,0,0,0,0, ,Call 93361824 to hire a $T$ in #Singapore,maid,Foreign domestic workers,0
8.34E+17,2017-03-27 12:19:21+00:00, ,8.46E+17,en,0,0,0,0, ,Singapore couple jailed for starving Philippine $T$ https://t.co/j0i3zAvajL https://t.co/LaxrpKvTWb,maid,Foreign domestic workers,-1
29540188,2012-10-09 03:29:31+00:00, ,2.56E+17,en,0,0,0,0, ,Is the worst job in singapore being a $T$? For foreigners?,domestic helper,Foreign domestic workers,-1
1620000000,2021-12-03 07:03:56+00:00, ,1.47E+18,en,0,0,0,2, ,"RT @___abhi1234____: As the Australia lifting their ban from Dec 15, we ($T$) had booked our flights from India to Australia via Singa",international students,Foreign talents,0
1.05E+18,2019-08-29 23:35:32+00:00, ,1.17E+18,en,0,0,0,12377, ,"RT @SGNotoriousAFC: ""Which race in Singapore is the most $T$? Indian, Chinese, Malay""

This guy: https://t.co/irlpVCoQSR",racist,Xenophobia and racism,0
754000000,2015-06-17 01:00:42+00:00, ,6.11E+17,en,0,0,0,0, ,$T$ Levy in Singapore: Changes to the Levy From July 2015  http://t.co/hnjjbAhj2a #Singapore #Payroll,foreign worker,Migrant workers,0
2250000000,2018-02-06 02:48:17+00:00, ,9.61E+17,en,0,0,0,0, ,"Heavy traffic expected at Woodlands, Tuas checkpoints over Chinese New Year festive period: $T$ https://t.co/4qxon5eeEU",ICA,Immigration policy,-1
1.27E+18,2020-10-25 12:01:40+00:00, ,1.32E+18,en,2,0,0,0, ,Sometimes i just hate Singapore. $T$ gile,racist,Xenophobia and racism,-1
2790000000,2017-10-12 00:37:29+00:00, ,9.18E+17,en,0,0,1,0, ,"even though singapore has fucked up a lot of stuff and has a lot of shitty laws, one I can fully support is that $T$ is illegal here",racism,Xenophobia and racism,-1
272000000,2011-06-25 13:13:28+00:00, ,8.46E+16,en,0,0,0,0, ,Employer won't lose security bond over pregnant $T$ http://t.co/EAgcycO via @cmswire,maid,Foreign domestic workers,1
14843506,2016-08-29 15:34:48+00:00, ,7.70E+17,en,2,0,3,1, ,$T$ in Singapore: Stop Telling Us Minorities How to React to It https://t.co/St4LjwSgxw,racism,Xenophobia and racism,-1
2860000000,2017-03-24 08:05:18+00:00, ,8.45E+17,en,0,0,0,0, ,$T$ warns public about fake website https://t.co/MKiZv0qib9,ICA,Immigration policy,0
2620000000,2016-12-23 06:29:02+00:00, ,8.12E+17,en,0,0,0,0, ,"Job in Singapore 
SOUTH INDIAN CHEF _ 2 NO????S (S $T$ / INDIA EXP.)

Basic Salary S$ 1200 -1400 PM  

Free housing... https://t.co/4RKV4RLGmD",S pass,Foreign talents,1
389000000,2016-06-28 11:54:11+00:00, ,7.48E+17,en,0,0,0,312, ,RT @abnorxmal: Another receipt on $T$ in Singapore by a Facebook friend. ,racism,Xenophobia and racism,0
614000000,2021-05-04 11:39:38+00:00, ,1.39E+18,en,0,0,0,0, ,"It's not $T$ to say the government allowed for this to happen, because they brought in imported cases from India into Singapore. https://t.co/LUNVSjG676",xenophobic,Xenophobia and racism,1
95263016,2011-06-02 23:28:34+00:00, ,7.64E+16,en,0,0,0,0, ,"Singapore's PSN Store is up, but it still has some minor connectivity issues. Another PSN update coming, on 3 June. http://ow.ly/590b8 ^$T$",EP,Foreign talents,-1
9.46E+17,2018-03-08 12:31:57+00:00, ,9.72E+17,en,0,0,0,0, ,Singapore Cuts Master????s Courses Subsidies for International and $T$ https://t.co/vuGo5BgKm2,international students,Foreign talents,0
4850000000,2018-10-26 12:54:33+00:00, ,1.06E+18,en,1,0,0,0, ,"@vithush_$T$ You can also WATCH #MariSelvaraj's Latest Superhit hard-hitting anti-caste drama #PariyerumPerumal starring @am_kathir &amp; @anandhiactress streaming now on #YuppFlix @ https://t.co/Uun3dUiboA 

Available in all countries exept India, Malasiya, Singapore, Middle East regions.",SP,Foreign talents,1
4380000000,2017-08-08 06:34:07+00:00, ,8.95E+17,en,0,0,0,1348, ,"RT @fizzurp_: Singapore wants no $T$/islamophobic citizens too, zip it. https://t.co/F6Qnw4mFcS",racist,Xenophobia and racism,1
2880000000,2020-10-01 01:07:03+00:00, ,1.31E+18,en,0,0,0,0, ,"The Waiver of Counter Indemnity is an add-on feature with the additional premium payable for most foreign domestic $T$ insurance plans.

Read more: https://t.co/pTkAaoc0Q2
",FDW,Foreign domestic workers,0
1.17E+18,2021-10-27 09:34:03+00:00, ,1.45E+18,en,0,0,0,0, ,Planning to draft an Appeal Letter to $T$ for your Singapore PR rejection? This is a must-read article.,ICA,Immigration policy,0
526000000,2017-06-17 11:37:20+00:00, ,8.76E+17,en,0,0,0,598, ,"RT @NathanSykes: Ok Singapore, it's boiling and I might $T$ out onstage but if that happens just ignore me and pretend I'm still singing a",S pass,Foreign talents,0
396000000,2015-05-12 03:40:06+00:00, ,5.98E+17,en,0,0,0,0, ,"Work $T$, PR applicants who lie to be 'dealt with firmly' http://t.co/4eSHSuGykr #Singapore",work pass,Migrant workers,-1
445000000,2022-02-21 23:18:40+00:00, ,1.50E+18,en,0,0,0,4868, ,RT @andychester_: Oh! Singapore will raise it$T$ salary from S$4500 to S$5000 while leader KELUARGA MALAYSIA bagi statement h,employment pass,Foreign talents,1
8.04E+17,2020-11-25 15:40:13+00:00, ,1.33E+18,en,0,0,0,0, ,"here am I defending Singapore????s right to be a free and independent nation, against a group of $T$ loons like you, wedded to the idea that it????s a country incapable of changing its own laws without the U.K. telling it what to do. But I????m the coloniser.",racist,Xenophobia and racism,1
1380000000,2014-05-16 15:20:46+00:00, ,4.67E+17,en,0,0,0,0, ,Singapore Parliament reopens: Key points of President Tony Tan's $T$eech http://t.co/4yEdy4Zdo7,SP,Foreign talents,0
270000000,2013-11-28 11:59:00+00:00, ,4.06E+17,en,1,0,0,0, ,#Singapore #$T$ is a type of #visa suitable for unskilled expats or without a degree. http://t.co/CHIZwFS2SK #employment #Asia,work permit,Migrant workers,0
58435187,2010-03-18 22:59:03+00:00, ,10700000000,en,0,0,0,0, ,"SINGAPORE - From August, new $T$ at t... http://bit.ly/9flZaF",international students,Foreign talents,1
14942417,2016-06-08 17:46:10+00:00, ,7.41E+17,en,0,0,0,0, ,Wanling Lee near ur $T$?!!? https://t.co/ANeJqfWRz2,maid,Foreign domestic workers,0
131000000,2013-02-25 18:01:13+00:00, ,3.06E+17,en,0,0,0,1, ,"DTN Fashion: News Analysis: Singapore tighten$T$ policies, aiming to drive productivity: SINGAPOR... http://t.co/xlUc02Na3d",foreign worker,Migrant workers,-1
227000000,2021-04-06 14:35:48+00:00, ,1.38E+18,en,0,0,0,19, ,"RT @Forbes_MENA_: #Singapore will accept incoming passengers using the International Air Association????s (IATA) Travel $T$, a mobi",S pass,Foreign talents,0
830000000,2019-09-24 03:22:09+00:00, ,1.18E+18,en,0,0,0,0, ,This is how Singapore $T$ handles immigration- https://t.co/7qVNwYxQYm,ICA,Immigration policy,0
543000000,2017-08-08 10:53:27+00:00, ,8.95E+17,en,0,0,0,1348, ,"RT @fizzurp_: Singapore wants no $T$/islamophobic citizens too, zip it. https://t.co/F6Qnw4mFcS",racist,Xenophobia and racism,1
34918368,2015-09-26 07:25:04+00:00, ,6.48E+17,en,0,0,0,0, ,"Doctor's kin seek return of $5m she gave $T$, 2 men http://t.co/9MhLnf0A8B",maid,Foreign domestic workers,0
26515325,2014-07-18 20:56:09+00:00, ,4.90E+17,en,1,0,0,0, ,Personal $T$ Singapore - http://t.co/eoVIPpwwfu. ,employment pass,Foreign talents,0
8.08E+17,2018-11-05 16:15:59+00:00, ,1.06E+18,en,0,0,0,0, ,How to Hire a $T$ in Singapore - https://t.co/M9jtV95ZTX,maid,Foreign domestic workers,0
15760735,2020-06-12 00:30:00+00:00, ,1.27E+18,en,0,0,1,0, ,"Singapore reported 422 #COVID19 cases on Jun 11.

- 416 $T$ (dorms) cases (37,043)
- 6 community cases (1,764)

Total: 39,387
Recovered: 27,276 (+753)
Isolation facilities: 11,849 (-336)
",migrant worker,Migrant workers,-1
2270000000,2022-02-15 06:44:12+00:00, ,1.49E+18,en,0,0,0,17, ,RT @business: Asian governments need to remove $T$ such as pre-flight Covid tests and quarantine to help the aviation indus,travel restrictions,Travel restrictions,1
9.89E+17,2021-01-01 06:43:49+00:00, ,1.34E+18,en,0,0,0,0, ,Call 93361824 to hire a $T$ in #Singapore,maid,Foreign domestic workers,0
192000000,2014-04-29 07:00:38+00:00, ,4.61E+17,en,0,0,0,0, ,"Let me ask this again, what's the point of CMIO classification in today's context?
On race &amp; $T$ in Singapore. http://t.co/H2YKgClL8i",xenophobia,Xenophobia and racism,0
1910000000,2016-09-29 12:16:06+00:00, ,7.81E+17,en,0,0,0,0, ,$T$ in Singapore - https://t.co/KwCchmaz8J via @_feed$T$ot,maid,Foreign domestic workers,0
1.04E+18,2020-04-07 04:16:20+00:00, ,1.25E+18,en,2,0,1,2, ,Is there a scenario in the modelling on $T$ or just quarantining on arrival which was implemented late? Eg Singapore style health screening at the border? https://t.co/NGQVZlUN90,border measures,Travel restrictions,-1
966000000,2020-04-17 10:45:47+00:00, ,1.25E+18,en,0,0,0,0,,Singapore's cramped $T$ dorms hide Covid-19 surge risk https://t.co/QyaTxYpxIM,migrant worker,Migrant workers,-1
341000000,2018-11-26 21:27:58+00:00, ,1.07E+18,en,2,0,1,2,,Blocked by a C-list TV celebrity after his claim that any criticism of Singapore is based on $T$ and neo-colonialism: https://t.co/qcuMZ8Y5XJ,racism,Xenophobia and racism,-1
,2019-08-04 12:01:06+00:00, ,1.16E+18,en,6,0,0,0,,Growing up brown in Singapore means being called "black" by my classmates simply for being only slightly darker than my paler Chinese friends. It means being called $T$/the help by friends. It means being randomly sworn at by  old men on the street. https://t.co/85BnoAj98l,maid,Foreign domestic workers,-1
,2012-01-20 05:00:52+00:00, ,1.60E+17,en,0,0,0,0,,NewsInSG: Man charged with   of illegal $T$'s body:  don__ have it so good ... http://t.co/tFJom8YI #Singapore,foreign worker,Migrant workers,-1
78772642,2021-08-12 13:45:46+00:00, ,1.43E+18,en,0,0,0,3,,"RT @drchrisnewton: I had a look at Singapore's O-level in history and it is much better than the GCSEs here, both in terms of rigour $T$",international students,Foreign talents,1
,2020-05-09 15:24:47+00:00, ,1.26E+18,en,20,3,2,12,,"As of 9 May 2020, 12pm, we have confirmed and verified an additional 753 cases of COVID-19 infection in Singapore. Breakdown: 0 imported, 11 cases in the community, 3 $T$ holders residing outside dorms &amp; 739 $T$ holders residing in dorms. https://t.co/m0msdE2eio",work permit,Migrant workers,0
12749902,2021-01-06 00:08:26+00:00, ,1.35E+18,en,0,0,0,0,,Containing the pandemic by locking up $T$s? #singapore migrant worker sues employer  https://t.co/w4Q1pfWtkj,migrant worker,Migrant workers,-1
55118669,2015-04-01 01:08:21+00:00, ,5.83E+17,en,0,0,0,6,,RT @AJStream: Many of the people featured on Singapore's public shaming sites are foreigners. Does $T$ play a role in public shaming?,xenophobia,Xenophobia and racism,-1
,2018-03-23 10:40:16+00:00, ,9.77E+17,en,0,0,0,0,,"$T$ landlords in Malaysia to Chinese privilege in Singapore, why is Asia so hung up on skin tone? | South China Morning Post - https://t.co/nUBtp9Yc9j",racist,Xenophobia and racism,-1
,2018-08-03 08:53:02+00:00, ,1.03E+18,en,16,1,0,5,,Pinoy $T$ top 14th International Mathematics Contest in Singapore https://t.co/ax1yp3RRMw,international students,Foreign talents,0
2730000000,2010-08-20 04:39:50+00:00, ,21600000000,en,0,0,0,0,,Part TIme $T$ Singapore - http://newzfor.me/?6d04,maid,Foreign domestic workers,0
43468679,2019-08-19 04:53:57+00:00, ,1.16E+18,en,1,0,0,0,,"We are honoured to have Mr Edmund Ong _ General Manager, International Business Singapore at https://t.co/bNFGDLIuJg, to give a guest lecture to our $T$ ?- read more about it here: https://t.co/qfXvn19fs6",international students,Foreign talents,1
802000000,2011-12-20 05:26:43+00:00, ,1.49E+17,en,0,0,0,0,,CNA - $T$ jailed for cheating & pawning elderly's jewellery: SINGAPORE:,maid,Foreign domestic workers,-1
9.80E+17,2021-08-03 12:14:39+00:00, ,1.42E+18,en,0,0,0,0,,Call 93361824 to hire #$T$ in #Singapore ,maid,Foreign domestic workers,0
